,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
0,Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYXRmOjMwMDAxNTUwODk1NDEzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,MOCKING BIRD,MOCKING BIRD 38 inch Acoustic Guitar for Beginners Musical Instruments For Adults premium kit wood curved cutaway design Guitar Accessories with string & 5 picks & bag for beige (Blue),-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MDgyMzkxNzI0MTE3MDUzOjE3MDg2ODY1MjU6c3BfYXRmOjMwMDExODE5OTcxOTIzMjo6MDo6&url=%2FMOCKING-BIRD-Beginners-Instruments-Accessories%2Fdp%2FB0CMXDNCDN%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4%26dib_tag%3Dse%26keywords%3Dguitar%26qid%3D1708686525%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small",-,7 days Replacement,"Wednesday, 28 February",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-5
5,-,-,-,-,-,-,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_6?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-6
6,-,-,-,-,-,-,https://www.amazon.in/Cort-AC120CEOP-Classical-Guitar-Brown/dp/B01CED1144/ref=sr_1_7?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-7
7,Wooden Yellow,Radhe Flutes | Right Handed C Natural With Velvet Cover | Tuned With Tanpura A=440Hz | PVC Fiber,-,Non-Returnable,"Tuesday, 27 February",In stock,https://aax-eu.amazon.in/x/c/RLSISw_k-Gn69HnsEZljTosAAAGN1adDHQMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAVOdcB/https://www.amazon.in/Radhe-Flutes-Natural-Bansuri-Middle/dp/B07T35ZBHB/ref=sxin_15_sbv_search_btf?content-id=amzn1.sym.4fe35c1d-da6a-41a4-967c-7a2315a8b22e%3Aamzn1.sym.4fe35c1d-da6a-41a4-967c-7a2315a8b22e&cv_ct_cx=guitar&dib=eyJ2IjoiMSJ9.RkxRkdLFro_AAXvr06nUqw.h7FaRYKpa0TqH3G6IQaWLWuXX0cf6mag3U7bQWYNiCI&dib_tag=se&keywords=guitar&pd_rd_i=B07T35ZBHB&pd_rd_r=57dfa005-7e8d-44ac-9f55-4d6c1e52b4ab&pd_rd_w=P04kP&pd_rd_wg=llbGo&pf_rd_p=4fe35c1d-da6a-41a4-967c-7a2315a8b22e&pf_rd_r=HR41HMFBVHTVTD7HTCB9&qid=1708686525&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351
8,YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)",-,7 days Replacement,"Monday, 26 February",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_8?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-8
9,-,-,-,-,-,-,https://www.amazon.in/YAMAHA-FS80C-CONCERT-CUTAWAY-GUITAR/dp/B08WBBVMVJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.crxhhcuVe8Gag3-0mnCXJnJHne6N_F_8QTotLPUcJ2KMuUTSlPlLeP9Vm_qUOTerVsWAP0JSSoJoitbFgt74x1C7RVP3sMSXIAMsD6fX0_Iw6oR2WxyU0XgsjoQ4wHbnoX0_zP0klqA-v6iYTSqbOEPhN3HWkFGptfYx6G6rpjn9QqF0s0immzN1PfQxFE8kik6y77FOjHQSj6vHvct-wXCAqAQA46YgQIUVgLvcc1RnUSVBJK2uzDbaCgyXYTFusHOIcnCZkPgupyAT-2-KMRd9nFYbx1b9O_ziH2tVN-Y.xR_HYe2FF8EHN0p4qfTNuy0yilMZ9hJr8BiPe0b4cp4&dib_tag=se&keywords=guitar&qid=1708686525&sr=8-9
